subject,sequence,image_index,filepath,file_prefix,AU17,AU1,AU2,AU25,AU27,AU4,AU7,AU23,AU24,AU6,AU12,AU15,AU14,AU11,AU26,high_level_emotion
S058,2,22,./cohn-kanade-images/S058/002/S058_002_00000022.png,S058_002_00000022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S058,3,15,./cohn-kanade-images/S058/003/S058_003_00000015.png,S058_003_00000015,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S058,5,10,./cohn-kanade-images/S058/005/S058_005_00000010.png,S058_005_00000010,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,negative
S058,6,18,./cohn-kanade-images/S058/006/S058_006_00000018.png,S058_006_00000018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
S059,1,18,./cohn-kanade-images/S059/001/S059_001_00000018.png,S059_001_00000018,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S060,1,20,./cohn-kanade-images/S060/001/S060_001_00000020.png,S060_001_00000020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S060,2,26,./cohn-kanade-images/S060/002/S060_002_00000026.png,S060_002_00000026,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S060,3,18,./cohn-kanade-images/S060/003/S060_003_00000018.png,S060_003_00000018,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S060,5,21,./cohn-kanade-images/S060/005/S060_005_00000021.png,S060_005_00000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
S061,1,12,./cohn-kanade-images/S061/001/S061_001_00000012.png,S061_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S061,2,15,./cohn-kanade-images/S061/002/S061_002_00000015.png,S061_002_00000015,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S061,4,22,./cohn-kanade-images/S061/004/S061_004_00000022.png,S061_004_00000022,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,negative
S062,1,17,./cohn-kanade-images/S062/001/S062_001_00000017.png,S062_001_00000017,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,negative
S062,3,24,./cohn-kanade-images/S062/003/S062_003_00000024.png,S062_003_00000024,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S063,1,13,./cohn-kanade-images/S063/001/S063_001_00000013.png,S063_001_00000013,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S063,2,23,./cohn-kanade-images/S063/002/S063_002_00000023.png,S063_002_00000023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,positive
S064,1,12,./cohn-kanade-images/S064/001/S064_001_00000012.png,S064_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S064,2,29,./cohn-kanade-images/S064/002/S064_002_00000029.png,S064_002_00000029,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,negative
S064,3,25,./cohn-kanade-images/S064/003/S064_003_00000025.png,S064_003_00000025,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,positive
S064,4,14,./cohn-kanade-images/S064/004/S064_004_00000014.png,S064_004_00000014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S065,1,18,./cohn-kanade-images/S065/001/S065_001_00000018.png,S065_001_00000018,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,negative
S065,2,22,./cohn-kanade-images/S065/002/S065_002_00000022.png,S065_002_00000022,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,negative
S066,1,9,./cohn-kanade-images/S066/001/S066_001_00000009.png,S066_001_00000009,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,negative
S066,2,22,./cohn-kanade-images/S066/002/S066_002_00000022.png,S066_002_00000022,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S066,3,12,./cohn-kanade-images/S066/003/S066_003_00000012.png,S066_003_00000012,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S066,4,10,./cohn-kanade-images/S066/004/S066_004_00000010.png,S066_004_00000010,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S066,5,11,./cohn-kanade-images/S066/005/S066_005_00000011.png,S066_005_00000011,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,negative
S067,1,21,./cohn-kanade-images/S067/001/S067_001_00000021.png,S067_001_00000021,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,negative
S067,2,14,./cohn-kanade-images/S067/002/S067_002_00000014.png,S067_002_00000014,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S067,4,23,./cohn-kanade-images/S067/004/S067_004_00000023.png,S067_004_00000023,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,negative
S068,1,24,./cohn-kanade-images/S068/001/S068_001_00000024.png,S068_001_00000024,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,negative
S068,2,15,./cohn-kanade-images/S068/002/S068_002_00000015.png,S068_002_00000015,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S068,3,14,./cohn-kanade-images/S068/003/S068_003_00000014.png,S068_003_00000014,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,surprise
S068,5,21,./cohn-kanade-images/S068/005/S068_005_00000021.png,S068_005_00000021,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,negative
S069,1,18,./cohn-kanade-images/S069/001/S069_001_00000018.png,S069_001_00000018,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S069,2,14,./cohn-kanade-images/S069/002/S069_002_00000014.png,S069_002_00000014,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S069,4,17,./cohn-kanade-images/S069/004/S069_004_00000017.png,S069_004_00000017,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S069,5,23,./cohn-kanade-images/S069/005/S069_005_00000023.png,S069_005_00000023,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,negative
S070,1,20,./cohn-kanade-images/S070/001/S070_001_00000020.png,S070_001_00000020,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,negative
S070,3,17,./cohn-kanade-images/S070/003/S070_003_00000017.png,S070_003_00000017,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S070,5,16,./cohn-kanade-images/S070/005/S070_005_00000016.png,S070_005_00000016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S071,1,13,./cohn-kanade-images/S071/001/S071_001_00000013.png,S071_001_00000013,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S071,2,20,./cohn-kanade-images/S071/002/S071_002_00000020.png,S071_002_00000020,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S071,3,22,./cohn-kanade-images/S071/003/S071_003_00000022.png,S071_003_00000022,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,negative
S071,4,28,./cohn-kanade-images/S071/004/S071_004_00000028.png,S071_004_00000028,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S071,5,21,./cohn-kanade-images/S071/005/S071_005_00000021.png,S071_005_00000021,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S072,1,17,./cohn-kanade-images/S072/001/S072_001_00000017.png,S072_001_00000017,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S072,4,8,./cohn-kanade-images/S072/004/S072_004_00000008.png,S072_004_00000008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S072,5,19,./cohn-kanade-images/S072/005/S072_005_00000019.png,S072_005_00000019,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,negative
S073,1,13,./cohn-kanade-images/S073/001/S073_001_00000013.png,S073_001_00000013,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,surprise
S073,2,29,./cohn-kanade-images/S073/002/S073_002_00000029.png,S073_002_00000029,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,positive
S073,4,14,./cohn-kanade-images/S073/004/S073_004_00000014.png,S073_004_00000014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,negative
S073,5,21,./cohn-kanade-images/S073/005/S073_005_00000021.png,S073_005_00000021,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,negative
S073,6,14,./cohn-kanade-images/S073/006/S073_006_00000014.png,S073_006_00000014,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,negative
S074,1,20,./cohn-kanade-images/S074/001/S074_001_00000020.png,S074_001_00000020,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,negative
S074,2,16,./cohn-kanade-images/S074/002/S074_002_00000016.png,S074_002_00000016,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S074,3,15,./cohn-kanade-images/S074/003/S074_003_00000015.png,S074_003_00000015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,surprise
S074,4,18,./cohn-kanade-images/S074/004/S074_004_00000018.png,S074_004_00000018,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,negative
S074,5,43,./cohn-kanade-images/S074/005/S074_005_00000043.png,S074_005_00000043,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S075,1,13,./cohn-kanade-images/S075/001/S075_001_00000013.png,S075_001_00000013,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,negative
S075,2,14,./cohn-kanade-images/S075/002/S075_002_00000014.png,S075_002_00000014,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S075,3,4,./cohn-kanade-images/S075/003/S075_003_00000004.png,S075_003_00000004,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,negative
S075,4,12,./cohn-kanade-images/S075/004/S075_004_00000012.png,S075_004_00000012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,positive
S075,7,22,./cohn-kanade-images/S075/007/S075_007_00000022.png,S075_007_00000022,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,negative
S075,8,12,./cohn-kanade-images/S075/008/S075_008_00000012.png,S075_008_00000012,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,negative
S076,1,17,./cohn-kanade-images/S076/001/S076_001_00000017.png,S076_001_00000017,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S076,2,9,./cohn-kanade-images/S076/002/S076_002_00000009.png,S076_002_00000009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,positive
S076,3,18,./cohn-kanade-images/S076/003/S076_003_00000018.png,S076_003_00000018,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,negative
S076,4,9,./cohn-kanade-images/S076/004/S076_004_00000009.png,S076_004_00000009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,surprise
S076,6,19,./cohn-kanade-images/S076/006/S076_006_00000019.png,S076_006_00000019,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S077,1,28,./cohn-kanade-images/S077/001/S077_001_00000028.png,S077_001_00000028,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S077,2,33,./cohn-kanade-images/S077/002/S077_002_00000033.png,S077_002_00000033,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S077,3,11,./cohn-kanade-images/S077/003/S077_003_00000011.png,S077_003_00000011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S078,1,33,./cohn-kanade-images/S078/001/S078_001_00000033.png,S078_001_00000033,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S078,3,19,./cohn-kanade-images/S078/003/S078_003_00000019.png,S078_003_00000019,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,negative
S078,5,22,./cohn-kanade-images/S078/005/S078_005_00000022.png,S078_005_00000022,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S078,6,20,./cohn-kanade-images/S078/006/S078_006_00000020.png,S078_006_00000020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,positive
S079,1,12,./cohn-kanade-images/S079/001/S079_001_00000012.png,S079_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S079,3,16,./cohn-kanade-images/S079/003/S079_003_00000016.png,S079_003_00000016,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,negative
S079,4,26,./cohn-kanade-images/S079/004/S079_004_00000026.png,S079_004_00000026,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S080,1,18,./cohn-kanade-images/S080/001/S080_001_00000018.png,S080_001_00000018,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S080,2,13,./cohn-kanade-images/S080/002/S080_002_00000013.png,S080_002_00000013,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S080,3,10,./cohn-kanade-images/S080/003/S080_003_00000010.png,S080_003_00000010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,negative
S080,4,14,./cohn-kanade-images/S080/004/S080_004_00000014.png,S080_004_00000014,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,positive
S080,5,13,./cohn-kanade-images/S080/005/S080_005_00000013.png,S080_005_00000013,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,negative
S080,8,9,./cohn-kanade-images/S080/008/S080_008_00000009.png,S080_008_00000009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,negative
S081,1,19,./cohn-kanade-images/S081/001/S081_001_00000019.png,S081_001_00000019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S081,2,24,./cohn-kanade-images/S081/002/S081_002_00000024.png,S081_002_00000024,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,negative
S081,3,25,./cohn-kanade-images/S081/003/S081_003_00000025.png,S081_003_00000025,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S081,5,19,./cohn-kanade-images/S081/005/S081_005_00000019.png,S081_005_00000019,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S081,8,11,./cohn-kanade-images/S081/008/S081_008_00000011.png,S081_008_00000011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,negative
S082,1,15,./cohn-kanade-images/S082/001/S082_001_00000015.png,S082_001_00000015,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S082,2,25,./cohn-kanade-images/S082/002/S082_002_00000025.png,S082_002_00000025,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S082,3,18,./cohn-kanade-images/S082/003/S082_003_00000018.png,S082_003_00000018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S083,1,18,./cohn-kanade-images/S083/001/S083_001_00000018.png,S083_001_00000018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S083,3,19,./cohn-kanade-images/S083/003/S083_003_00000019.png,S083_003_00000019,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S083,4,10,./cohn-kanade-images/S083/004/S083_004_00000010.png,S083_004_00000010,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,negative
S084,1,10,./cohn-kanade-images/S084/001/S084_001_00000010.png,S084_001_00000010,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S084,4,17,./cohn-kanade-images/S084/004/S084_004_00000017.png,S084_004_00000017,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,negative
S085,1,17,./cohn-kanade-images/S085/001/S085_001_00000017.png,S085_001_00000017,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S085,3,13,./cohn-kanade-images/S085/003/S085_003_00000013.png,S085_003_00000013,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
